Normal_X	Normal_Y
0.827992	-0.948083
1.34821	-1.35393
0.525554	-0.112953
-0.839298	-1.18881
-0.0777055	1.30241
-0.723279	-0.00695823
-0.074643	0.710406
0.0426907	0.610933
0.716771	-0.605199
-0.397161	-1.79954
-0.57025	-0.0289449
1.59989	-1.21131
0.485767	-0.727541
-0.928816	-0.0188854
0.233085	-0.0088163
-0.369516	0.711871
-0.766241	0.194045
0.147316	-0.124545
1.82004	0.792023
0.677416	-1.05613
-0.246264	1.97731
0.958462	0.873886
0.747228	-1.43135
-0.878604	-1.72196
-0.0063085	-0.274943
-0.795613	-0.08485
1.83048	0.6062
-0.103387	0.326301
1.85745	0.315394
0.895994	2.56997
-0.103098	0.416095
-0.707544	1.23259
1.34141	-0.195712
1.79891	-0.930521
-1.17041	1.44708
1.87243	-0.163813
-1.25862	0.152796
0.927963	0.033362
-0.628333	-1.41137
-0.56205	-1.11188
-1.59291	-0.0575527
0.760575	0.335376
0.136971	0.630229
-0.874299	0.536844
1.25085	1.471
-1.23218	-0.0213193
1.51042	-0.432035
0.0640375	-1.19146
-0.562429	-1.24521
-0.763552	1.18595
-0.91346	-0.451394
1.56651	0.60049
-1.06052	0.398439
0.206193	0.549631
0.389292	-0.41868
0.585299	-1.214
0.439173	0.295011
-0.578798	-0.580253
1.85706	-0.56248
1.08232	-0.4511
-0.0116306	-0.452163
0.387526	-0.138873
-0.274754	-1.05373
1.98422	-0.112849
-0.0582474	-0.621392
0.141313	0.553528
1.66233	1.20258
0.719535	0.632689
-1.4918	-0.244125
1.0698	-0.421843
1.05028	0.199275
0.434053	0.378328
1.42221	-1.56395
-0.704995	-0.586143
0.324946	0.040922
-1.38419	-0.0151685
-1.2422	1.41229
0.376997	-1.51446
1.03886	-0.829409
1.94438	-0.800938
0.978536	-0.80126
1.09965	-0.564442
0.540656	-1.15215
-0.18693	-0.22667
0.759975	-1.70972
-0.101062	-0.236595
-0.421287	0.43532
-2.30466	-0.966914
0.663422	1.38166
0.22085	-0.408674
0.444927	0.223107
0.823147	-1.09397
-1.14982	-2.43407
-0.282402	-0.505692
-0.0712353	0.332965
1.39128	-0.613466
-0.522164	0.861478
0.0348963	-0.235978
0.549906	-0.224051
-0.657944	1.48566
-0.612121	0.824308
1.00619	0.769762
-1.22279	0.143514
0.596213	0.719761
0.849463	0.0448897
-0.2555	-0.569014
0.248997	1.05186
1.16741	0.50863
-0.406419	-0.189999
-0.350588	0.412404
0.68678	0.166787
-0.300499	0.473458
0.43752	1.6795
-0.206145	0.218001
0.487771	-1.01598
0.347925	0.363226
0.77293	1.87741
-1.3526	-0.878555
-0.334023	0.761622
1.61225	-0.415238
1.20814	-2.22288
-0.939525	-0.8565
-0.818016	-1.19588
0.463156	-0.806585
-0.0349822	-0.287493
0.170537	-0.628403
-2.89124	-0.01592
0.709327	-0.547395
-0.750923	1.49603
0.45793	0.197382
-1.45257	-0.562673
0.37045	0.798159
-0.871615	0.93906
0.580847	-1.28904
0.027652	0.82125
-0.465677	0.130119
1.78212	-1.35304
-0.663838	-0.450882
2.48167	0.562592
-0.665385	0.693798
-0.606861	-1.13512
0.486497	0.770312
-0.740966	-0.889193
-1.58824	1.58853
-1.91851	-0.123494
-1.33659	1.63699
-2.15125	-1.24282
1.69818	0.396427
0.567621	-2.32338
-0.94545	-0.974644
0.0594922	-2.22403
-0.928566	0.114793
-0.117583	0.14423
0.96407	0.909593
0.123858	0.360373
0.435362	-1.11027
-1.53733	-1.48804
-0.0671391	-0.684308
-0.564397	-0.688395
-2.58425	-0.355826
-0.70822	-0.478173
1.30628	-1.2268
-0.891499	0.708155
0.742487	-0.795688
0.572636	0.270888
0.257099	-0.108075
-2.33556	0.0271006
-0.326671	0.469361
-0.426424	0.501423
-1.17788	0.566344
1.87012	-0.196511
1.29582	-0.267837
0.90152	0.922371
0.611176	-1.25114
1.44341	-0.136624
-0.0797157	-1.19429
1.38677	0.116138
1.81452	1.12996
-0.893613	0.0307489
0.853371	-1.10046
1.13617	1.3517
0.656643	0.814801
0.0915388	2.26035
0.87359	-1.15936
0.517023	-0.886106
1.07226	-1.75037
-0.428143	-0.144092
0.048643	0.949773
-0.417043	-0.0443245
0.81768	0.623172
1.91264	1.04781
-0.369651	-0.457741
0.841036	-1.4456
0.762563	0.202467
-1.1518	0.521744
0.473545	0.304526
-0.112347	-2.49689
1.90668	-0.721357
-1.874	-0.298035
-0.20326	1.68228
-0.863992	0.291552
1.21756	-0.328361
0.210845	-0.430359
-1.26128	0.175578
-0.458671	0.670844
1.04936	1.60307
-2.24026	-1.23482
-0.6423	-0.154019
-1.46787	0.145115
1.84644	-1.79212
0.312265	-0.411738
-1.92114	1.4373
-0.172386	0.68719
0.0229078	-0.179127
-0.113676	-2.25329
-0.957727	-1.90356
-0.269253	-0.14183
1.1399	-1.15999
-0.521271	1.81089
-0.211883	-0.686335
-0.356534	-0.121347
0.776015	-0.613513
0.505116	0.729131
-0.352552	-1.37416
-0.653083	-0.959448
-1.29145	-0.154806
-0.989692	-0.0440682
0.140273	-0.253453
0.278459	1.65954
-0.913002	1.74256
-0.858065	-1.12699
1.23599	-0.666323
-0.599897	-1.35682
-0.607683	1.10654
1.37879	0.506913
0.46882	-0.526656
-0.0442451	0.36888
1.50253	0.00266251
-0.219737	0.437947
0.782501	2.32899
1.37705	-0.37199
0.47765	1.23929
-2.68664	-0.972019
-0.65504	0.327659
-0.116014	0.296708
-2.53783	1.30439
-0.17375	-1.16369
-0.812758	-1.34612
-1.70992	1.05842
0.389801	1.5991
1.42254	0.608407
0.654153	-0.835332
1.19614	-0.658971
1.59391	1.0543
-1.39581	-0.00288905
0.204471	-1.43117
0.333871	-0.0876453
-0.685369	0.354273
0.712152	-1.93447
-3.27429	-0.2102
-0.514846	-0.365157
-0.133214	0.842895
0.755038	-0.18755
-0.700229	-1.9897
1.30631	0.00872741
-1.54272	0.341881
-1.11926	-0.922028
0.512472	-0.445716
0.61185	-0.658324
-0.366046	1.28074
0.0416823	2.25995
0.779833	-2.32662
0.685043	-1.12715
0.137371	0.387207
-2.09625	-0.857791
-1.39553	0.232314
-1.04391	-0.440428
-0.401577	-1.13377
-0.802203	-0.0523231
1.55465	0.377178
-1.78853	-1.27614
-0.00242979	0.799115
-1.46079	0.311153
-0.257034	-0.423796
-0.235553	-2.51849
-0.0679344	-0.784279
-0.922142	0.928328
