Normal_X	Normal_Y
0.134989	-0.103994
-0.587893	0.731276
1.8391	0.971932
0.452507	0.287706
-0.213947	-0.247866
1.64222	0.666026
0.620871	0.240568
0.872415	-0.609343
-0.609876	0.240699
-2.05962	-0.0962902
1.66153	0.423592
-0.172683	0.143379
0.0230208	-1.72145
-0.214422	0.169797
0.486842	1.10692
1.74165	0.224464
-1.34564	-1.04374
0.130713	-0.407405
0.046744	-0.40555
-0.434605	1.69571
-0.0315401	-0.680067
-0.189151	1.57516
-0.426806	0.576347
-0.773246	-0.913191
0.600778	-1.10217
-1.08511	1.42952
-0.772667	-0.169971
1.3663	-0.201421
0.876811	-1.06745
0.359555	-0.114205
0.559716	-1.35089
0.287363	1.0364
0.479274	-0.656441
-1.7866	1.42175
-0.189777	0.885636
0.614983	1.08455
-0.757319	-0.0690964
-0.553443	-1.21463
0.0381193	1.70081
0.825238	-0.347482
-1.0768	-0.738748
-0.849223	-2.67616
0.383967	-0.291538
0.497599	-0.550373
-0.0229191	1.94693
-1.07048	1.79975
-0.527962	0.972971
2.09518	0.361051
1.65367	-0.812258
-0.381256	0.0293846
-0.721005	-0.8484
0.176423	-2.81433
0.190638	0.881988
-0.0555753	0.613314
-0.276595	-2.70079
0.613514	-0.19439
1.96244	2.38143
0.0914801	-0.101122
-0.0261878	-1.25002
0.273399	-0.187653
0.59253	-1.88452
-0.496425	0.146282
-0.729239	-0.193404
1.81598	-0.309159
-0.654133	-0.111408
0.416405	1.02155
-1.00829	-0.40524
-0.635688	0.462621
1.41058	-0.183011
-0.97597	-1.3909
0.0155028	-2.05137
-2.27175	0.950062
-0.204282	1.64043
-2.38029	-0.697946
1.01583	1.04947
0.743512	1.8331
-1.01897	2.59404
0.506102	0.358406
-0.538109	-1.23561
-0.589083	-0.47636
1.9525	0.846923
-0.316832	-1.2557
0.0516981	2.38246
-1.33159	-0.896012
0.262115	-0.458585
0.0903796	-2.15651
0.71152	0.207048
0.248784	-0.331192
0.977026	0.402821
1.49005	0.117294
-0.984329	-0.397343
0.250477	-0.651413
-0.0766361	0.306837
-0.598105	0.447974
0.799478	0.81298
0.908394	-1.43543
1.41478	0.850534
-0.501136	0.557238
2.30975	-0.0650747
0.0157731	0.561515
-0.0243306	1.66723
-0.304937	-2.17819
0.264443	1.13124
0.0507815	0.618843
-0.833665	-0.347869
-0.549371	2.76861
1.29651	-1.14027
-0.412146	0.181695
-0.387586	1.02568
1.24319	-1.01763
1.68978	1.42566
0.865598	1.20294
-0.783633	-1.09276
1.19732	0.78426
0.720162	-2.83275
-1.86124	0.762058
-0.0940919	1.55803
0.594798	0.571942
-0.157209	-0.342388
-1.35089	0.00335113
-1.07683	-2.06353
-0.0468744	-1.08257
-0.943894	-0.763229
1.12671	0.24652
0.849358	0.460949
0.426559	0.654486
-0.0912392	1.33687
0.295579	0.301531
2.87352	2.0096
0.279511	0.634339
-0.285234	-1.35405
0.187504	1.19384
2.01088	-0.823936
-0.171721	-1.53803
0.947481	0.1911
-0.0688319	-0.487056
-1.11981	1.0027
0.108974	0.698096
-1.55311	1.47203
-0.175802	-0.46395
-0.699839	-1.05413
0.274153	0.52811
0.896784	-1.9644
0.296637	1.21647
1.72446	0.651625
1.60594	1.20933
0.946515	-0.731301
-0.784596	-2.90223
-0.107969	-0.0721571
-0.465817	-0.65301
0.756958	-0.488186
-0.796637	2.01311
-0.384408	1.50851
-1.52888	-0.737327
0.434453	-0.394592
-0.404344	-1.40606
1.06266	0.213592
0.497907	0.0987984
2.11751	-0.57294
1.01342	1.40404
1.55954	-0.193322
0.856837	1.19979
0.199884	0.00617155
-1.44802	-1.64344
0.595936	1.53776
0.717592	0.0423195
0.180378	-0.605568
0.908707	1.40678
-0.964495	0.658524
-1.5908	-0.362518
-1.3125	-0.845592
-0.125038	0.175679
0.856478	0.533451
-1.44235	2.31588
-0.229534	0.0934733
-0.348932	-0.388515
