Random_Number_1	Random_Number_2
0.293534	0.721326
0.123224	0.246574
0.883219	0.985586
0.895527	0.779611
0.0503324	0.400075
0.906409	0.64163
0.643913	0.357769
0.472449	0.239358
0.954769	0.898064
0.402261	0.114926
0.0773769	0.330163
0.564739	0.259438
0.617678	0.595323
0.866088	0.0901344
0.906356	0.648794
0.350758	0.128649
0.443241	0.947806
0.636669	0.238435
0.480543	0.498165
0.826117	0.0330234
0.207997	0.0613216
0.422428	0.49578
0.671365	0.203958
0.0039781	0.801174
0.0588328	0.149819
0.437249	0.454009
0.89711	0.93771
0.567676	0.902965
0.531734	0.954808
0.954141	0.0426099
0.203223	0.806588
0.440173	0.241135
0.47981	0.348928
0.117589	0.731521
0.119355	0.507435
0.329622	0.453898
0.27765	0.29111
0.356581	0.229912
0.0397288	0.085354
0.476637	0.523769
0.295993	0.645665
0.975126	0.389714
0.865987	0.381708
0.729296	0.186424
0.15658	0.227191
0.752128	0.0971204
0.790554	0.491808
0.489787	0.990044
0.963287	0.393403
0.0421581	0.202759
0.742085	0.992893
0.0194794	0.481357
0.184054	0.967183
0.303867	0.100602
0.877849	0.983439
0.213982	0.0203994
0.565217	0.0335051
0.266806	0.0271667
0.0853919	0.234553
0.604997	0.0453877
0.392827	0.878294
0.84589	0.18018
0.912532	0.799412
0.671218	0.0198921
0.574508	0.670132
0.904111	0.920049
0.768264	0.04177
0.554139	0.109677
0.682117	0.31028
0.216068	0.289931
0.405695	0.477098
0.934125	0.683885
0.183165	0.79315
0.742624	0.853758
0.721214	0.276044
0.624839	0.620581
0.284093	0.269021
0.377364	0.724697
0.410721	0.795977
0.325025	0.773237
0.351448	0.0553079
0.0712759	0.2563
0.0530409	0.662536
0.488745	0.638177
0.00949447	0.884741
0.916884	0.0763518
0.942989	0.454819
0.829428	0.19598
0.687362	0.359364
0.562049	0.136439
0.19979	0.353337
0.924953	0.962888
0.565974	0.0287452
0.702957	0.731285
0.534462	0.331219
0.339854	0.525833
0.742688	0.574096
0.385321	0.976705
0.287673	0.917027
0.0324821	0.57513
0.410107	0.385149
0.859444	0.963532
0.4294	0.437543
0.975425	0.744673
0.931312	0.951052
0.749445	0.349772
0.183568	0.761708
0.372802	0.34332
0.812516	0.000594577
0.454404	0.502141
0.50225	0.996281
0.560823	0.206952
0.0270973	0.142794
0.659266	0.186072
0.417617	0.718702
0.850371	0.963857
0.707498	0.122383
0.643222	0.00878557
0.07378	0.393021
0.172589	0.187621
0.559525	0.367737
0.00996249	0.663528
0.283596	0.596354
0.705941	0.99175
0.481983	0.992897
0.45968	0.167903
0.401596	0.540317
0.236299	0.00433608
0.902786	0.748898
0.514481	0.0960966
0.816558	0.388027
0.22837	0.248484
0.410324	0.681955
0.34698	0.973729
0.197287	0.199094
0.24938	0.235249
0.246434	0.490434
0.829747	0.405735
0.884919	0.223428
0.66973	0.936571
0.711627	0.229688
0.246333	0.00496196
0.252333	0.426295
0.595701	0.727314
0.940339	0.546439
0.313584	0.172498
0.0194192	0.701095
0.482098	0.776544
0.627525	0.67587
0.64997	0.890286
0.896643	0.158012
0.690305	0.494083
0.258199	0.958406
0.759376	0.866992
0.425809	0.652465
0.359257	0.518799
0.0577738	0.150239
0.251873	0.0650033
0.370942	0.594888
0.214266	0.187434
0.111637	0.3354
0.902407	0.755658
0.185411	0.544676
0.154213	0.541881
0.329126	0.894952
0.556101	0.731001
0.0540579	0.588549
0.104343	0.0271595
0.160415	0.998431
0.627582	0.154639
0.452149	0.183197
0.927334	0.0387163
0.108426	0.0499936
0.661125	0.429229
0.929499	0.487758
0.921726	0.813755
0.250158	0.162559
0.244403	0.538044
0.637891	0.98106
0.213993	0.872698
0.582953	0.887
0.0187644	0.759964
0.999328	0.20688
0.201475	0.573535
0.200725	0.665563
0.21612	0.686691
0.029396	0.443454
0.17252	0.683188
0.827272	0.264383
0.363597	0.571089
0.214966	0.487784
0.991562	0.0250874
0.733757	0.335808
0.962367	0.7776
0.785819	0.287228
0.812944	0.951165
0.693594	0.338321
0.952436	0.963236
0.406212	0.00855535
0.140304	0.744217
0.200337	0.908234
0.458117	0.18673
0.990746	0.867039
0.685959	0.5861
0.489424	0.626888
0.398679	0.457666
0.746666	0.0483743
0.0944029	0.0230198
0.61399	0.383723
0.946504	0.904265
0.0410763	0.641424
0.248223	0.602311
0.305782	0.142097
0.798484	0.557421
0.762458	0.725911
0.554248	0.221301
0.874662	0.454392
0.0766863	0.181846
0.834201	0.124867
0.368218	0.752317
0.54126	0.869158
0.981738	0.570042
0.534445	0.416115
